old,new
7015,g-348
7016,g-349
7020,g-350
7027,g-351
7048,g-352
7074,g-353
7077,g-354
7082,g-355
7088,g-356
7099,g-357
7105,g-358
7106,g-359
7153,g-360
7159,g-361
7165,g-362
7168,g-363
7264,g-364
7296,g-365
7319,g-366
7358,g-367
7376,g-368
7398,g-369
7416,g-370
7485,g-371
7494,g-372
7511,g-373
7538,g-374
7690,g-375
7750,g-376
7852,g-377
7866,g-378
7867,g-379
7874,g-380
7905,g-381
7982,g-382
7994,g-383
8050,g-384
8061,g-385
8202,g-386
8204,g-387
8243,g-388
8312,g-389
8318,g-390
8324,g-391
8349,g-392
8396,g-393
8440,g-394
8444,g-395
8446,g-396
8503,g-397
8508,g-398
8518,g-399
8520,g-400
8550,g-401
8553,g-402
8569,g-403
8573,g-404
8574,g-405
8607,g-406
8624,g-407
8678,g-408
8720,g-409
8726,g-410
8727,g-411
8731,g-412
8804,g-413
8821,g-414
8826,g-415
8837,g-416
8869,g-417
8878,g-418
8884,g-419
8895,g-420
8914,g-421
8974,g-422
8985,g-423
8996,g-424
9016,g-425
9019,g-426
9053,g-427
9093,g-428
9097,g-429
9112,g-430
9124,g-431
9126,g-432
9133,g-433
9134,g-434
9143,g-435
9170,g-436
9181,g-437
9183,g-438
9212,g-439
9221,g-440
9246,g-441
9261,g-442
9267,g-443
9270,g-444
9275,g-445
9276,g-446
9289,g-447
9375,g-448
9448,g-449
9455,g-450
9467,g-451
9488,g-452
9491,g-453
9517,g-454
9519,g-455
9531,g-456
9533,g-457
9637,g-458
9653,g-459
9670,g-460
9686,g-461
9690,g-462
9695,g-463
9697,g-464
9702,g-465
9703,g-466
9709,g-467
9710,g-468
9712,g-469
9738,g-470
9761,g-471
9797,g-472
9801,g-473
9805,g-474
9813,g-475
9817,g-476
9833,g-477
9842,g-478
9847,g-479
9851,g-480
9854,g-481
9868,g-482
9897,g-483
9903,g-484
9917,g-485
9918,g-486
9924,g-487
9926,g-488
9928,g-489
9943,g-490
9961,g-491
9988,g-492
10007,g-493
10013,g-494
10038,g-495
10046,g-496
10049,g-497
10051,g-498
10057,g-499
10058,g-500
10059,g-501
10099,g-502
10112,g-503
10123,g-504
10131,g-505
10150,g-506
10153,g-507
10165,g-508
10180,g-509
10190,g-510
10206,g-511
10221,g-512
10245,g-513
10270,g-514
10273,g-515
10276,g-516
10285,g-517
10298,g-518
10318,g-519
10329,g-520
10362,g-521
10398,g-522
10434,g-523
10450,g-524
10489,g-525
10491,g-526
10493,g-527
10494,g-528
10513,g-529
10523,g-530
10525,g-531
10557,g-532
10589,g-533
10606,g-534
10641,g-535
10652,g-536
10668,g-537
10670,g-538
10681,g-539
10682,g-540
10695,g-541
10730,g-542
10732,g-543
10765,g-544
10776,g-545
10782,g-546
10797,g-547
10810,g-548
10845,g-549
10857,g-550
10892,g-551
10898,g-552
10904,g-553
10915,g-554
10921,g-555
10953,g-556
10954,g-557
10962,g-558
10969,g-559
10972,g-560
10973,g-561
11000,g-562
11007,g-563
11011,g-564
11031,g-565
11041,g-566
11044,g-567
11065,g-568
11073,g-569
11098,g-570
11137,g-571
11142,g-572
11151,g-573
11157,g-574
11168,g-575
11188,g-576
11200,g-577
11230,g-578
11232,g-579
11284,g-580
11319,g-581
11325,g-582
11344,g-583
22809,g-584
22823,g-585
22827,g-586
22883,g-587
22887,g-588
22889,g-589
22934,g-590
23011,g-591
23013,g-592
23014,g-593
23038,g-594
23039,g-595
23061,g-596
23076,g-597
23077,g-598
23097,g-599
23139,g-600
23142,g-601
23200,g-602
23223,g-603
23224,g-604
23271,g-605
23300,g-606
23326,g-607
23338,g-608
23365,g-609
23386,g-610
23410,g-611
23443,g-612
23463,g-613
23499,g-614
23530,g-615
23588,g-616
23597,g-617
23658,g-618
23659,g-619
23670,g-620
24149,g-621
25793,g-622
25805,g-623
25825,g-624
25874,g-625
25932,g-626
25966,g-627
25976,g-628
25987,g-629
26001,g-630
26020,g-631
26064,g-632
26128,g-633
26136,g-634
26227,g-635
26511,g-636
26520,g-637
27032,g-638
27242,g-639
27244,g-640
27336,g-641
27346,g-642
28969,g-643
29103,g-644
29763,g-645
29890,g-646
29916,g-647
29928,g-648
29937,g-649
29978,g-650
30001,g-651
30836,g-652
50810,g-653
50813,g-654
50814,g-655
50865,g-656
51001,g-657
51005,g-658
51015,g-659
51021,g-660
51024,g-661
51026,g-662
51031,g-663
51053,g-664
51056,g-665
51070,g-666
51071,g-667
51097,g-668
51116,g-669
51160,g-670
51170,g-671
51203,g-672
51293,g-673
51375,g-674
51382,g-675
51385,g-676
51422,g-677
51465,g-678
51466,g-679
51495,g-680
51569,g-681
51599,g-682
51635,g-683
54205,g-684
54386,g-685
54442,g-686
54499,g-687
54512,g-688
54541,g-689
54623,g-690
54733,g-691
54807,g-692
54850,g-693
54881,g-694
54957,g-695
55008,g-696
55011,g-697
55012,g-698
55033,g-699
55038,g-700
55111,g-701
55127,g-702
55148,g-703
55179,g-704
55256,g-705
55556,g-706
55604,g-707
55608,g-708
55748,g-709
55793,g-710
55818,g-711
55825,g-712
55837,g-713
55847,g-714
55958,g-715
56889,g-716
56940,g-717
56997,g-718
57019,g-719
57178,g-720
57192,g-721
57406,g-722
57761,g-723
57804,g-724
58472,g-725
58478,g-726
58497,g-727
58533,g-728
60493,g-729
60528,g-730
63874,g-731
64080,g-732
64422,g-733
64428,g-734
64429,g-735
64746,g-736
64781,g-737
64943,g-738
65057,g-739
66008,g-740
79006,g-741
79073,g-742
79080,g-743
79090,g-744
79094,g-745
79143,g-746
79187,g-747
79600,g-748
79643,g-749
79716,g-750
79850,g-751
79921,g-752
79947,g-753
80347,g-754
80746,g-755
80758,g-756
81533,g-757
83743,g-758
84159,g-759
84617,g-760
84722,g-761
84890,g-762
85236,g-763
89910,g-764
91949,g-765
93594,g-766
116832,g-767
148022,g-768
200734,g-769
256364,g-770
388650,g-771
